# Content: proteins
# Copyright: 2022, Ecole Polytechnique Federale de Lausanne.
# License: Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0)
# Version: Release 4 (07/30/2022)
uniprot_ac	uniprot_id	uniprot_description	organism	main_gene_name	gene_names	nber_palmitoyl_proteome_hits	nber_palmitoyl_proteome_sites	nber_palmitoyl_proteome_articles	nber_targeted_study_hits	nber_targeted_study_sites	nber_targeted_study_articles	nber_technique_categories	main_isoform_site_positions
Q63844	MK03_MOUSE	Mitogen-activated protein kinase 3, MAP kinase 3, MAPK 3, EC 2.7.11.24 (ERT2) (Extracellular signal-regulated kinase 1, ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44, p44-MAPK) (MNK1) (Microtubule-associated protein 2 kinase) (p44-ERK1)	Mus musculus	Mapk3	Prkm3,Erk1,Mapk3	6	1	3	0	0	0	2	179
Q6P5G0	MK04_MOUSE	Mitogen-activated protein kinase 4, MAP kinase 4, MAPK 4, EC 2.7.11.24 (Extracellular signal-regulated kinase 4, ERK-4)	Mus musculus	Mapk4	Prkm4,Erk4,Mapk4	1	0	1	0	0	0	2	
P47811	MK14_MOUSE	Mitogen-activated protein kinase 14, MAP kinase 14, MAPK 14, EC 2.7.11.24 (CRK1) (Mitogen-activated protein kinase p38 alpha, MAP kinase p38 alpha)	Mus musculus	Mapk14	Csbp2,Csbp1,Crk1,Mapk14	1	0	1	0	0	0	2	
Q80Y86	MK15_MOUSE	Mitogen-activated protein kinase 15, MAP kinase 15, MAPK 15, EC 2.7.11.24 (Extracellular signal-regulated kinase 7, ERK-7) (Extracellular signal-regulated kinase 8, ERK-8)	Mus musculus	Mapk15	Erk8,Erk7,Mapk15	4	0	1	0	0	0	2	
O89050	MKLN1_MOUSE	Muskelin	Mus musculus	Mkln1	Mkln1	1	0	1	0	0	0	2	
Q9QXP6	MKRN1_MOUSE	E3 ubiquitin-protein ligase makorin-1, EC 2.3.2.27 (RING-type E3 ubiquitin transferase makorin-1)	Mus musculus	Mkrn1	Mkrn1	2	0	1	0	0	0	2	
Q3THE2	ML12B_MOUSE	Myosin regulatory light chain 12B (Myosin regulatory light chain 2-B, smooth muscle isoform) (Myosin regulatory light chain 20 kDa, MLC20) (Myosin regulatory light chain MRLC2)	Mus musculus	Myl12b	Mylc2b,Mrlc2,Myl12b	4	1	3	0	0	0	2	109
Q8VHK5	MLC1_MOUSE	Membrane protein MLC1	Mus musculus	Mlc1	Mlc1	6	2	3	0	0	0	2	52,350
Q6ZQI3	MLEC_MOUSE	Malectin	Mus musculus	Mlec	2410014A08Rik,Kiaa0152,Mlec	22	1	14	0	0	0	3	205
Q99KX1	MLF2_MOUSE	Myeloid leukemia factor 2 (Myelodysplasia-myeloid leukemia factor 2)	Mus musculus	Mlf2	Mlf2	1	0	1	0	0	0	2	
Q91VR7	MLP3A_MOUSE	Microtubule-associated proteins 1A/1B light chain 3A (Autophagy-related protein LC3 A) (Autophagy-related ubiquitin-like modifier LC3 A) (MAP1 light chain 3-like protein 1) (MAP1A/MAP1B light chain 3 A, MAP1A/MAP1B LC3 A) (Microtubule-associated protein 1 light chain 3 alpha)	Mus musculus	Map1lc3a	Map1lc3a	2	0	1	0	0	0	2	
Q9CQV6	MLP3B_MOUSE	Microtubule-associated proteins 1A/1B light chain 3B (Autophagy-related protein LC3 B) (Autophagy-related ubiquitin-like modifier LC3 B) (MAP1 light chain 3-like protein 2) (MAP1A/MAP1B light chain 3 B, MAP1A/MAP1B LC3 B) (Microtubule-associated protein 1 light chain 3 beta)	Mus musculus	Map1lc3b	Map1lc3,Map1alc3,Map1lc3b	1	0	1	0	0	0	1	
Q9ESL4	M3K20_MOUSE	Mitogen-activated protein kinase kinase kinase 20, EC 2.7.11.25 (Human cervical cancer suppressor gene 4 protein, HCCS-4) (Leucine zipper- and sterile alpha motif kinase ZAK) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mitogen-activated protein kinase kinase kinase MLT) (Mixed lineage kinase-related kinase, MLK-related kinase, MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK)	Mus musculus	Map3k20	Zak,Mltk,Map3k20	5	0	2	0	0	0	2	
O08609	MLX_MOUSE	Max-like protein X (Max-like bHLHZip protein) (Protein BigMax) (Transcription factor-like protein 4)	Mus musculus	Mlx	Tcfl4,Mlx	1	0	1	0	0	0	2	
Q8C7H1	MMAA_MOUSE	Methylmalonic aciduria type A homolog, mitochondrial, EC 3.6.-.-	Mus musculus	Mmaa	Mmaa	3	1	2	0	0	0	2	97
Q9JLI3	MMEL1_MOUSE	Membrane metallo-endopeptidase-like 1, EC 3.4.24.11 (NEP2(m)) (Neprilysin II, NEPII) (Neprilysin-2, NEP2, NL2) (Neprilysin-like 1, NL-1) (Neprilysin-like peptidase, NEPLP) (Soluble secreted endopeptidase) [Cleaved into: Membrane metallo-endopeptidase-like 1, soluble form (Neprilysin-2 secreted, NEP2(s)) ]	Mus musculus	Mmel1	Sep,Nl1,Nep2,Mmel1	1	0	1	0	0	0	2	
P53690	MMP14_MOUSE	Matrix metalloproteinase-14, MMP-14, EC 3.4.24.80 (MMP-X1) (MT-MMP) (Membrane-type matrix metalloproteinase 1, MT-MMP 1, MTMMP1) (Membrane-type-1 matrix metalloproteinase, MT1-MMP, MT1MMP)	Mus musculus	Mmp14	Mtmmp,Mmp14	1	0	1	1	1	1	4	574
O54732	MMP15_MOUSE	Matrix metalloproteinase-15, MMP-15, EC 3.4.24.- (Membrane-type matrix metalloproteinase 2, MT-MMP 2, MTMMP2) (Membrane-type-2 matrix metalloproteinase, MT2-MMP, MT2MMP)	Mus musculus	Mmp15	Mmp15	1	0	1	0	0	0	1	
Q9D071	MMS19_MOUSE	MMS19 nucleotide excision repair protein homolog (MET18 homolog) (MMS19-like protein)	Mus musculus	Mms19	Mms19l,Mms19	4	0	3	0	0	0	2	
Q9EQ20	MMSA_MOUSE	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial, MMSDH, Malonate-semialdehyde dehydrogenase [acylating], EC 1.2.1.18, EC 1.2.1.27 (Aldehyde dehydrogenase family 6 member A1)	Mus musculus	Aldh6a1	Aldh6a1	14	4	8	0	0	0	3	86,368,317
D0QMC3	MNDAL_MOUSE	Myeloid cell nuclear differentiation antigen-like protein	Mus musculus	Mndal	Mndal	4	0	3	0	0	0	3	
Q9CQY6	UQCC2_MOUSE	Ubiquinol-cytochrome-c reductase complex assembly factor 2 (Mitochondrial nucleoid factor 1) (Mitochondrial protein M19)	Mus musculus	Uqcc2	Uqcc2,Mnf1	12	0	6	0	0	0	2	
Q61884	MNS1_MOUSE	Meiosis-specific nuclear structural protein 1	Mus musculus	Mns1	Mns1	2	0	1	0	0	0	2	
Q9D2P8	MOBP_MOUSE	Myelin-associated oligodendrocyte basic protein	Mus musculus	Mobp	Mobp	7	7	3	0	0	0	2	62,63,65,51,47,26,27
A2BDX3	MOCS3_MOUSE	Adenylyltransferase and sulfurtransferase MOCS3 (Molybdenum cofactor synthesis protein 3) [Includes: Molybdopterin-synthase adenylyltransferase, EC 2.7.7.80 (Adenylyltransferase MOCS3) (Sulfur carrier protein MOCS2A adenylyltransferase); Molybdopterin-synthase sulfurtransferase, EC 2.8.1.11 (Sulfur carrier protein MOCS2A sulfurtransferase) (Sulfurtransferase MOCS3) ]	Mus musculus	Mocs3	Uba4,Mocs3	4	1	3	0	0	0	2	154
P26041	MOES_MOUSE	Moesin (Membrane-organizing extension spike protein)	Mus musculus	Msn	Msn	7	0	4	0	0	0	2	
Q9JIB0	MOG1_MOUSE	Ran guanine nucleotide release factor, RanGNRF (Ran-binding protein MOG1)	Mus musculus	Rangrf	Rangnrf,Mog1,Rangrf	2	0	1	0	0	0	2	
Q80UM7	MOGS_MOUSE	Mannosyl-oligosaccharide glucosidase, EC 3.2.1.106 (Glucosidase 1) (Glycoprotein-processing glucosidase I)	Mus musculus	Mogs	Gcs1,Mogs	5	0	3	0	0	0	3	
Q61885	MOG_MOUSE	Myelin-oligodendrocyte glycoprotein	Mus musculus	Mog	Mog	7	0	3	0	0	0	2	
Q8BMQ8	MON1B_MOUSE	Vacuolar fusion protein MON1 homolog B	Mus musculus	Mon1b	Kiaa0872,Mon1b	1	0	1	0	0	0	2	
Q80TL7	MON2_MOUSE	Protein MON2 homolog (Protein SF21)	Mus musculus	Mon2	Sf21,Kiaa1040,Mon2	3	0	3	0	0	0	2	
Q7TNS2	MIC10_MOUSE	MICOS complex subunit Mic10 (Mitochondrial inner membrane organizing system protein 1)	Mus musculus	Minos1	Micos10,Minos1,Mic10	3	0	1	0	0	0	2	
Q9CW42	MARC1_MOUSE	Mitochondrial amidoxime-reducing component 1, mARC1, EC 1.7.-.- (Molybdenum cofactor sulfurase C-terminal domain-containing protein 1, MOSC domain-containing protein 1, Moco sulfurase C-terminal domain-containing protein 1)	Mus musculus	Marc1	Mtarc1,Mosc1,Marc1	2	5	2	0	0	0	2	276,164,152,82,303
Q922Q1	MARC2_MOUSE	Mitochondrial amidoxime reducing component 2, mARC2, EC 1.7.-.- (Molybdenum cofactor sulfurase C-terminal domain-containing protein 2, MOSC domain-containing protein 2, Moco sulfurase C-terminal domain-containing protein 2)	Mus musculus	Marc2	Mtarc2,Mosc2,Mg87,Marc2	10	6	5	0	0	0	2	274,160,74,78,211
Q3U9N9	MOT10_MOUSE	Monocarboxylate transporter 10, MCT 10 (Aromatic amino acid transporter 1) (Solute carrier family 16 member 10) (T-type amino acid transporter 1)	Mus musculus	Slc16a10	Tat1,Mct10,Slc16a10	1	0	1	0	0	0	2	
P53986	MOT1_MOUSE	Monocarboxylate transporter 1, MCT 1 (Solute carrier family 16 member 1)	Mus musculus	Slc16a1	Mct1,Slc16a1	2	0	2	0	0	0	2	
O70451	MOT2_MOUSE	Monocarboxylate transporter 2, MCT 2 (Solute carrier family 16 member 7)	Mus musculus	Slc16a7	Mct2,Slc16a7	1	0	1	0	0	0	2	
P57787	MOT4_MOUSE	Monocarboxylate transporter 4, MCT 4 (Solute carrier family 16 member 3)	Mus musculus	Slc16a3	Mct4,Slc16a3	5	0	2	0	0	0	2	
B1AT66	MOT7_MOUSE	Monocarboxylate transporter 7, MCT 7 (Monocarboxylate transporter 6, MCT 6) (Solute carrier family 16 member 6)	Mus musculus	Slc16a6	Mct7,Slc16a6	3	0	1	0	0	0	1	
O70324	MOT8_MOUSE	Monocarboxylate transporter 8, MCT 8 (Solute carrier family 16 member 2) (X-linked PEST-containing transporter)	Mus musculus	Slc16a2	Xpct,Mct8,Slc16a2	1	0	1	0	0	0	2	
P23249	MOV10_MOUSE	Putative helicase MOV-10, EC 3.6.4.13 (Moloney leukemia virus 10 protein)	Mus musculus	Mov10	Gb110,Mov10	2	0	1	0	0	0	2	
Q99MS3	MP17L_MOUSE	Mpv17-like protein, M-LP	Mus musculus	Mpv17l	Mpv17l	1	0	1	0	0	0	1	
P31938	MP2K1_MOUSE	Dual specificity mitogen-activated protein kinase kinase 1, MAP kinase kinase 1, MAPKK 1, EC 2.7.12.2 (ERK activator kinase 1) (MAPK/ERK kinase 1, MEK 1)	Mus musculus	Map2k1	Prkmk1,Mek1,Map2k1	3	0	2	0	0	0	3	
Q63932	MP2K2_MOUSE	Dual specificity mitogen-activated protein kinase kinase 2, MAP kinase kinase 2, MAPKK 2, EC 2.7.12.2 (ERK activator kinase 2) (MAPK/ERK kinase 2, MEK 2)	Mus musculus	Map2k2	Prkmk2,Mkk2,Mek2,Map2k2	4	0	3	0	0	0	2	
P47809	MP2K4_MOUSE	Dual specificity mitogen-activated protein kinase kinase 4, MAP kinase kinase 4, MAPKK 4, EC 2.7.12.2 (C-JUN N-terminal kinase kinase 1, JNK kinase 1, JNKK 1) (JNK-activating kinase 1) (MAPK/ERK kinase 4, MEK 4) (SAPK/ERK kinase 1, SEK1)	Mus musculus	Map2k4	Skk1,Serk1,Sek1,Prkmk4,Mkk4,Mek4,Jnkk1,Map2k4	5	0	2	0	0	0	2	
Q9WVS7	MP2K5_MOUSE	Dual specificity mitogen-activated protein kinase kinase 5, MAP kinase kinase 5, MAPKK 5, EC 2.7.12.2 (MAPK/ERK kinase 5, MEK 5)	Mus musculus	Map2k5	Prkmk5,Mkk5,Mek5,Map2k5	1	0	1	0	0	0	2	
P63030	MPC1_MOUSE	Mitochondrial pyruvate carrier 1 (Brain protein 44-like protein)	Mus musculus	Mpc1	Brp44l,Mpc1	2	1	2	0	0	0	2	83
Q9D023	MPC2_MOUSE	Mitochondrial pyruvate carrier 2 (Brain protein 44)	Mus musculus	Mpc2	Brp44,Mpc2	6	0	3	0	0	0	2	
Q8VEM8	MPCP_MOUSE	Phosphate carrier protein, mitochondrial (Phosphate transport protein, PTP) (Solute carrier family 25 member 3)	Mus musculus	Slc25a3	Slc25a3	19	2	11	0	0	0	3	131
Q924M7	MPI_MOUSE	Mannose-6-phosphate isomerase, EC 5.3.1.8 (Phosphohexomutase) (Phosphomannose isomerase, PMI)	Mus musculus	Mpi	Pmi,Mpi1,Mpi	3	0	2	0	0	0	2	
Q3TV65	MPND_MOUSE	MPN domain-containing protein, EC 3.4.-.-	Mus musculus	Mpnd	Mpnd	3	0	1	0	0	0	2	
Q9WV34	MPP2_MOUSE	MAGUK p55 subfamily member 2 (Discs large homolog 2) (Protein MPP2)	Mus musculus	Mpp2	Dlgh2,Mpp2	9	1	5	0	0	0	2	310
O88910	MPP3_MOUSE	MAGUK p55 subfamily member 3 (Discs large homolog 3) (Protein MPP3)	Mus musculus	Mpp3	Dlgh3,Mpp3	5	0	2	0	0	0	2	
Q9JLB0	PALS2_MOUSE	Protein PALS2 (Dlgh4 protein) (MAGUK p55 subfamily member 6) (P55T protein) (Protein associated with Lin-7 2)	Mus musculus	Mpp6	Pals2,Dlgh4,Mpp6	18	1	10	0	0	0	3	311
Q3TYA6	MPP8_MOUSE	M-phase phosphoprotein 8	Mus musculus	Mphosph8	Mphosph8,Mpp8	1	0	1	0	0	0	2	
Q9DC61	MPPA_MOUSE	Mitochondrial-processing peptidase subunit alpha (Alpha-MPP) (Inactive zinc metalloprotease alpha) (P-55)	Mus musculus	Pmpca	Inpp5e,Pmpca	7	1	5	0	0	0	3	87
Q9CXT8	MPPB_MOUSE	Mitochondrial-processing peptidase subunit beta, EC 3.4.24.64 (Beta-MPP) (P-52)	Mus musculus	Pmpcb	Pmpcb	6	3	5	0	0	0	2	389,419,248
P24668	MPRD_MOUSE	Cation-dependent mannose-6-phosphate receptor, CD Man-6-P receptor, CD-MPR (46 kDa mannose 6-phosphate receptor, MPR 46)	Mus musculus	M6pr	46mpr,M6pr	19	2	12	0	0	0	3	146,33
P97434	MPRIP_MOUSE	Myosin phosphatase Rho-interacting protein (Rho-interacting protein 3, RIP3) (p116Rip)	Mus musculus	Mprip	Rhoip3,Mrip,Kiaa0864,Mprip	1	0	1	0	0	0	2	
Q07113	MPRI_MOUSE	Cation-independent mannose-6-phosphate receptor, CI Man-6-P receptor, CI-MPR, M6PR (300 kDa mannose 6-phosphate receptor, MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor, IGF-II receptor) (M6P/IGF2 receptor, M6P/IGF2R) (CD antigen CD222)	Mus musculus	Igf2r	Igf2r	6	1	5	0	0	0	3	724
Q9R0Q9	MPU1_MOUSE	Mannose-P-dolichol utilization defect 1 protein (Suppressor of Lec15 and Lec35 glycosylation mutation homolog, SL15)	Mus musculus	Mpdu1	Supl15h,Mpdu1	1	0	1	0	0	0	2	
Q3V3F6	MPZL3_MOUSE	Myelin protein zero-like protein 3	Mus musculus	Mpzl3	Mpzl3	1	1	1	0	0	0	1	216
Q61830	MRC1_MOUSE	Macrophage mannose receptor 1, MMR (CD antigen CD206)	Mus musculus	Mrc1	Mrc1	2	0	1	0	0	0	2	
Q7TT50	MRCKB_MOUSE	Serine/threonine-protein kinase MRCK beta, EC 2.7.11.1 (CDC42-binding protein kinase beta) (DMPK-like beta) (Myotonic dystrophy kinase-related CDC42-binding kinase beta, MRCK beta, Myotonic dystrophy protein kinase-like beta)	Mus musculus	Cdc42bpb	Kiaa1124,Cdc42bpb	2	0	2	0	0	0	2	
Q6NVG5	MREG_MOUSE	Melanoregulin (Dilute suppressor protein) (Whn-dependent transcript 2)	Mus musculus	Mreg	Wdt2,Gm974,Dsu,Mreg	4	0	3	2	0	1	4	
Q3UR85	MYRF_MOUSE	Myelin regulatory factor, EC 3.4.-.- (Myelin gene regulatory factor) [Cleaved into: Myelin regulatory factor, N-terminal; Myelin regulatory factor, C-terminal ]	Mus musculus	Myrf	Mrf,Gm98,Gm1804,Myrf	1	1	1	0	0	0	1	759
O35379	MRP1_MOUSE	Multidrug resistance-associated protein 1, EC 7.6.2.2 (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1, EC 7.6.2.3) (Leukotriene C(4) transporter, LTC4 transporter)	Mus musculus	Abcc1	Mrp,Mdrap,Abcc1b,Abcc1a,Abcc1	1	0	1	0	0	0	1	
Q8VI47	MRP2_MOUSE	ATP-binding cassette sub-family C member 2, EC 7.6.2.-, EC 7.6.2.2, EC 7.6.2.3 (Canalicular multispecific organic anion transporter 1) (Multidrug resistance-associated protein 2)	Mus musculus	Abcc2	Abcc2	1	1	1	0	0	0	1	1344
B2RX12	MRP3_MOUSE	ATP-binding cassette sub-family C member 3, EC 7.6.2.-, EC 7.6.2.2, EC 7.6.2.3 (Canalicular multispecific organic anion transporter 2) (Multidrug resistance-associated protein 3)	Mus musculus	Abcc3	Mrp3,Cmoat2,Abcc3	1	6	1	0	0	0	1	664,702,614,5,1431,1331
Q9R1S7	MRP6_MOUSE	ATP-binding cassette sub-family C member 6, EC 7.6.2.-, EC 7.6.2.3 (Multidrug resistance-associated protein 6)	Mus musculus	Abcc6	Mrp6,Abcc6	3	2	2	0	0	0	2	1248,1256
Q8R4P9	MRP7_MOUSE	ATP-binding cassette sub-family C member 10, EC 7.6.2.2, EC 7.6.2.3 (Multidrug resistance-associated protein 7)	Mus musculus	Abcc10	Mrp7,Abcc10	2	1	2	0	0	0	2	1400
Q80WJ6	MRP9_MOUSE	ATP-binding cassette sub-family C member 12 (Multidrug resistance-associated protein 9)	Mus musculus	Abcc12	Mrp9,Abcc12	1	0	1	0	0	0	2	
P28667	MRP_MOUSE	MARCKS-related protein (Brain protein F52) (MARCKS-like protein 1) (Macrophage myristoylated alanine-rich C kinase substrate, Mac-MARCKS, MacMARCKS)	Mus musculus	Marcksl1	Mrp,Mlp,Marcksl1	2	0	2	0	0	0	1	
P54276	MSH6_MOUSE	DNA mismatch repair protein Msh6 (G/T mismatch-binding protein, GTBP, GTMBP) (MutS protein homolog 6) (MutS-alpha 160 kDa subunit, p160)	Mus musculus	Msh6	Gtmbp,Msh6	5	0	3	0	0	0	3	
Q9CRA4	MSMO1_MOUSE	Methylsterol monooxygenase 1, EC 1.14.18.9 (C-4 methylsterol oxidase) (Sterol-C4-methyl oxidase)	Mus musculus	Msmo1	Sc4mol,Msmo1	1	0	1	0	0	0	2	
Q9CWP6	MSPD2_MOUSE	Motile sperm domain-containing protein 2	Mus musculus	Mospd2	Mospd2	2	0	2	0	0	0	2	
Q9D6Y7	MSRA_MOUSE	Mitochondrial peptide methionine sulfoxide reductase, EC 1.8.4.11 (Peptide-methionine (S)-S-oxide reductase, Peptide Met(O) reductase) (Protein-methionine-S-oxide reductase, PMSR)	Mus musculus	Msra	Msra	7	0	5	0	0	0	2	
Q9JLC3	MSRB1_MOUSE	Methionine-R-sulfoxide reductase B1, MsrB1, EC 1.8.4.12, EC 1.8.4.14 (Selenoprotein R, SelR) (Selenoprotein X, SelX)	Mus musculus	Msrb1	Sepx1,Sepr,Msrb1	1	0	1	0	0	0	2	
Q78J03	MSRB2_MOUSE	Methionine-R-sulfoxide reductase B2, mitochondrial, MsrB2, EC 1.8.4.12, EC 1.8.4.14	Mus musculus	Msrb2	Msrb2	6	0	3	0	0	0	3	
Q8BU85	MSRB3_MOUSE	Methionine-R-sulfoxide reductase B3, mitochondrial, MsrB3, EC 1.8.4.12, EC 1.8.4.14	Mus musculus	Msrb3	Msrb3	2	0	1	0	0	0	2	
Q91X96	MSS4_MOUSE	Guanine nucleotide exchange factor MSS4 (Rab-interacting factor)	Mus musculus	Rabif	Rabif	1	0	1	0	0	0	2	
P02802	MT1_MOUSE	Metallothionein-1, MT-1 (Metallothionein-I, MT-I)	Mus musculus	Mt1	Mt1	6	5	3	0	0	0	2	33,34,36,37,41
P02798	MT2_MOUSE	Metallothionein-2, MT-2 (Metallothionein-II, MT-II)	Mus musculus	Mt2	Mt2	2	0	1	0	0	0	2	
P28184	MT3_MOUSE	Metallothionein-3, MT-3 (Growth inhibitory factor, GIF) (Metallothionein-III, MT-III)	Mus musculus	Mt3	Mt3	5	0	2	0	0	0	2	
Q9R190	MTA2_MOUSE	Metastasis-associated protein MTA2 (Metastasis-associated 1-like 1)	Mus musculus	Mta2	Mta1l1,Mta2	6	0	4	0	0	0	3	
Q9CQ65	MTAP_MOUSE	S-methyl-5'-thioadenosine phosphorylase, EC 2.4.2.28 (5'-methylthioadenosine phosphorylase, MTA phosphorylase, MTAP, MTAPase)	Mus musculus	Mtap	Mtap	5	0	4	0	0	0	3	
Q791T5	MTCH1_MOUSE	Mitochondrial carrier homolog 1 (Mitochondrial carrier-like protein 1)	Mus musculus	Mtch1	Mtch1	6	0	5	0	0	0	3	
Q791V5	MTCH2_MOUSE	Mitochondrial carrier homolog 2 (Met-induced mitochondrial protein)	Mus musculus	Mtch2	Mimp,Mtch2	14	9	9	0	0	0	3	49,56,163,79,296,160
Q07243	MTF1_MOUSE	Metal regulatory transcription factor 1 (MRE-binding transcription factor) (Transcription factor MTF-1)	Mus musculus	Mtf1	Mtf-1,Mtf1	2	0	1	0	0	0	2	
Q9CRB8	MTFP1_MOUSE	Mitochondrial fission process protein 1 (Mitochondrial 18 kDa protein, MTP18)	Mus musculus	Mtfp1	Mtp18,Mtfp1	1	0	1	0	0	0	1	
Q8R2R6	MTG1_MOUSE	Mitochondrial ribosome-associated GTPase 1 (GTP-binding protein 7) (Mitochondrial GTPase 1)	Mus musculus	Mtg1	Gtpbp7,Gm169,Mtg1	1	0	1	0	0	0	1	
O70374	MTG8R_MOUSE	Protein CBFA2T2 (MTG8-like protein) (MTG8-related protein 1)	Mus musculus	Cbfa2t2	Mtgr1,Cbfa2t2h,Cbfa2t2	1	0	1	0	0	0	1	
Q61909	MTG8_MOUSE	Protein CBFA2T1 (Protein MTG8)	Mus musculus	Runx1t1	Mtg8,Cbfa2t1h,Cbfa2t1,Runx1t1	4	0	1	0	0	0	2	
Q9WTJ6	MTL5_MOUSE	Tesmin (Metallothionein-like 5, testis-specific) (Testis-specific metallothionein-like protein)	Mus musculus	Tesmin	Mtl5,Tesmin	2	0	1	0	0	0	2	
Q9Z2D1	MTMR2_MOUSE	Myotubularin-related protein 2 (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase, EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase, EC 3.1.3.64)	Mus musculus	Mtmr2	Mtmr2	7	0	3	0	0	0	2	
Q6ZPE2	MTMR5_MOUSE	Myotubularin-related protein 5 (Inactive phosphatidylinositol 3-phosphatase 5) (SET-binding factor 1, Sbf1)	Mus musculus	Sbf1	Mtmr5,Kiaa3020,Sbf1	7	0	3	0	0	0	2	
Q8VE11	MTMR6_MOUSE	Myotubularin-related protein 6 (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase, EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase, EC 3.1.3.64)	Mus musculus	Mtmr6	Mtmr6	2	0	1	0	0	0	2	
Q9CQT1	MTNA_MOUSE	Methylthioribose-1-phosphate isomerase, M1Pi, MTR-1-P isomerase, EC 5.3.1.23 (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)	Mus musculus	Mri1	Mri1	4	0	2	0	0	0	2	
Q9WVQ5	MTNB_MOUSE	Methylthioribulose-1-phosphate dehydratase, MTRu-1-P dehydratase, EC 4.2.1.109 (APAF1-interacting protein) (Monocyte/macrophage protein 19)	Mus musculus	Apip	Mmrp19,Apip	4	0	3	0	0	0	2	
Q9JLN9	MTOR_MOUSE	Serine/threonine-protein kinase mTOR, EC 2.7.11.1 (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin, mTOR) (Mechanistic target of rapamycin) (Rapamycin target protein 1, RAPT1)	Mus musculus	Mtor	Frap1,Frap,Mtor	7	0	3	0	0	0	2	
P62774	MTPN_MOUSE	Myotrophin (Granule cell differentiation protein) (Protein V-1)	Mus musculus	Mtpn	Gcdp,Mtpn	5	0	4	0	0	0	3	
O08601	MTP_MOUSE	Microsomal triglyceride transfer protein large subunit	Mus musculus	Mttp	Mtp,Mttp	4	1	3	0	0	0	2	397
Q9DBC3	CMTR1_MOUSE	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1, EC 2.1.1.57 (Cap methyltransferase 1) (Cap1 2'O-ribose methyltransferase 1, MTr1) (FtsJ methyltransferase domain-containing protein 2)	Mus musculus	Cmtr1	Cmtr1,Kiaa0082,Ftsjd2	1	0	1	0	0	0	2	
Q6P9S0	MTSS2_MOUSE	Protein MTSS 2 (MTSS1-like protein)	Mus musculus	Mtss1l	Mtss2,Mtss1l	1	0	1	0	0	0	2	
Q9DAT5	MTU1_MOUSE	Mitochondrial tRNA-specific 2-thiouridylase 1, EC 2.8.1.14	Mus musculus	Trmu	Trmt1,Mtu1,Trmu	2	0	1	0	0	0	2	
Q3UHD3	MTUS2_MOUSE	Microtubule-associated tumor suppressor candidate 2 homolog (Cardiac zipper protein) (Microtubule plus-end tracking protein TIP150, Tracking protein of 150 kDa)	Mus musculus	Mtus2	Tip150,Kiaa0774,Cazip,Mtus2	1	0	1	0	0	0	2	
P47802	MTX1_MOUSE	Metaxin-1 (Mitochondrial outer membrane import complex protein 1)	Mus musculus	Mtx1	Mtxn,Mtx,Mtx1	3	1	3	0	0	0	2	177
O88441	MTX2_MOUSE	Metaxin-2 (Mitochondrial outer membrane import complex protein 2)	Mus musculus	Mtx2	MNCb-0780,Mtx2	5	3	5	0	0	0	2	189,51,246
Q8R2Y2	MUC18_MOUSE	Cell surface glycoprotein MUC18 (Gicerin) (Melanoma cell adhesion molecule) (Melanoma-associated antigen MUC18) (CD antigen CD146)	Mus musculus	Mcam	Muc18,Mcam	8	2	6	0	0	0	3	274
Q80Z19	MUC2_MOUSE	Mucin-2, MUC-2 (Colonic mucin, MCM) (Secreted gel-forming mucin)	Mus musculus	Muc2	Muc2	0	0	0	1	3	1	2	163,166,12
P28665	MUG1_MOUSE	Murinoglobulin-1, MuG1	Mus musculus	Mug1	Mug-1,Mug1	7	6	5	0	0	0	2	1129,86,680,587,251,923
P28666	MUG2_MOUSE	Murinoglobulin-2, MuG2	Mus musculus	Mug2	Mug-2,Mug2	2	0	2	0	0	0	2	
Q6DID5	PWP3A_MOUSE	PWWP domain-containing DNA repair factor 3A, PWWP3A (Mutated melanoma-associated antigen 1, MUM-1) (PWWP domain-containing protein MUM1)	Mus musculus	Mum1	Pwwp3a,Mum1	1	1	1	0	0	0	1	319
Q4VA55	PWP3B_MOUSE	PWWP domain-containing DNA repair factor 3B, PWWP3B (Mutated melanoma-associated antigen 1-like protein 1, MUM1-like protein 1) (PWWP domain-containing protein MUM1L1)	Mus musculus	Mum1l1	Pwwp3b,Mum1l1	2	0	1	0	0	0	2	
